,0
Acai Bowls,0.0008395571336120197
Active Life,0.004092841026358596
Afghan,0.002063911286796215
African,0.0024312175327514734
American (New),0.07398597239955923
American (Traditional),0.11647106151505081
Arabian,0.0011543910587165271
Arcades,0.001364280342119532
Argentine,0.0007870848127612684
Art Galleries,0.0005946863029751806
Arts & Crafts,0.0005247232085075123
Arts & Entertainment,0.014272471271404335
Asian Fusion,0.031133577038112394
Automotive,0.0012243541531841953
Bagels,0.006891364805065328
Bakeries,0.02481940776240533
Barbeque,0.030014167526629703
Bars,0.18527976492400258
Beauty & Spas,0.0012243541531841953
Bed & Breakfast,0.0010319556433981076
Beer,0.019904500376051633
Beer Bar,0.005282213632308957
Beer Garden,0.000927011001696605
Beer Gardens,0.0008045755863781855
Belgian,0.0008570479072289367
Bistros,0.002361254438283805
Bowling,0.0007521032655274343
Brasseries,0.002256309796582303
Brazilian,0.0014517342102041172
Breakfast & Brunch,0.08785615587777447
Breweries,0.004250257988910849
Brewpubs,0.0005946863029751806
British,0.0026061252689206444
Bubble Tea,0.002763542231472898
Buffets,0.014639777517359592
Burgers,0.08965770556031694
Butcher,0.0012068633795672783
Cafes,0.054046490476273766
Cafeteria,0.0007346124919105172
Cajun/Creole,0.004792471971035279
Cambodian,0.0006646493974428489
Canadian (New),0.03197313417172441
Cantonese,0.0015391880782887027
Caribbean,0.010564427264617914
Casinos,0.0019239850978608785
Caterers,0.02721564374792297
Cheese Shops,0.0009794833225473562
Cheesesteaks,0.003463173176149581
Chicken Shop,0.00897276686547846
Chicken Wings,0.04439158343973554
Chinese,0.07428331555104682
Chocolatiers & Shops,0.0009619925489304392
Cocktail Bars,0.014849666800762598
Coffee & Tea,0.05436132440137827
Coffee Roasteries,0.0013118080212687808
Colombian,0.0008045755863781855
Comfort Food,0.013870183478215241
Convenience Stores,0.002063911286796215
Creperies,0.004320221083378518
Cuban,0.001364280342119532
Cupcakes,0.0007695940391443514
Custom Cakes,0.000699630944676683
Dance Clubs,0.002763542231472898
Delicatessen,0.0014342434365872002
Delis,0.032095569587042835
Desserts,0.02508176936665909
Dim Sum,0.004914907386353699
Diners,0.02363003515645497
Dive Bars,0.004110331799975513
Do-It-Yourself Food,0.0011893726059503612
Donairs,0.0010494464170150246
Donuts,0.0035856085914680006
Education,0.0008220663599951026
Ethiopian,0.0014167526629702831
Ethnic Food,0.011019187378657758
Event Planning & Services,0.039301768317212674
Falafel,0.0022388190229653856
Farmers Market,0.0011019187378657758
Fashion,0.0008045755863781855
Fast Food,0.11914714987843912
Festivals,0.0006471586238259318
Filipino,0.0038304794221048397
Fish & Chips,0.005474612142095045
Flowers & Gifts,0.0009445017753135221
Fondue,0.0008220663599951026
Food,0.31500883284067654
Food Court,0.0029209591940251517
Food Delivery Services,0.010494464170150247
Food Stands,0.005212250537841289
Food Trucks,0.009794833225473563
French,0.017088485823727982
Fruits & Veggies,0.000927011001696605
Gas Stations,0.0007171217182936001
Gastropubs,0.00897276686547846
Gelato,0.0008920294544627709
German,0.002763542231472898
Gluten-Free,0.01376523883651374
Golf,0.001346789568502615
Greek,0.01789306141010617
Grocery,0.008622951393140118
Hakka,0.0006121770765920977
Halal,0.009602434715687475
Hawaiian,0.0053171951795427915
Health & Medical,0.0008395571336120197
Health Markets,0.002256309796582303
Himalayan/Nepalese,0.000927011001696605
Home & Garden,0.0011543910587165271
Home Services,0.0008745386808458538
Hookah Bars,0.0021688559284977174
Hot Dogs,0.012226050758225037
Hot Pot,0.0019764574187116296
Hotels,0.00538715827401046
Hotels & Travel,0.00538715827401046
Hungarian,0.0005422139821244294
Ice Cream & Frozen Yogurt,0.01483217602714568
Imported Food,0.0051422874433736205
Indian,0.024784426215171497
International,0.0017315865880747905
International Grocery,0.000927011001696605
Internet Cafes,0.0014867157574379516
Irish,0.0037780071012540883
Irish Pub,0.0014342434365872002
Italian,0.0795830199569727
Japanese,0.044881325101009215
Jazz & Blues,0.0011194095114826928
Juice Bars & Smoothies,0.013292987948856978
Karaoke,0.0030433946093435713
Kebab,0.0009794833225473562
Korean,0.014814685253528763
Kosher,0.002063911286796215
Latin American,0.00956745316845364
Lebanese,0.0038129886484879224
Live/Raw Food,0.0012068633795672783
Local Flavor,0.003025903835726654
Local Services,0.0011893726059503612
Lounges,0.014027600440767495
Malaysian,0.0012593357004180294
Meat Shops,0.0028335053259405663
Mediterranean,0.03050390918790338
Mexican,0.07744914557570881
Middle Eastern,0.020674094415195986
Modern European,0.0035681178178510837
Mongolian,0.0008395571336120197
Moroccan,0.0012243541531841953
Music Venues,0.00598184457698564
New Mexican Cuisine,0.0008570479072289367
Nightlife,0.13901666870725693
Noodles,0.007188707956552918
Organic Stores,0.0010319556433981076
Pakistani,0.006943837125916079
Pan Asian,0.0013118080212687808
Party & Event Planning,0.0023962359855176393
Pasta Shops,0.0011369002850996099
Patisserie/Cake Shop,0.0012418449268011124
Performing Arts,0.000699630944676683
Persian/Iranian,0.0030783761565774054
Personal Chefs,0.0005072324348905953
Peruvian,0.001836531229776293
Pizza,0.11549157819250346
Poke,0.0023787452119007225
Polish,0.0012243541531841953
Pool Halls,0.0010319556433981076
Portuguese,0.004232767215293932
Poutineries,0.002973431514875903
Pretzels,0.0006121770765920977
Professional Services,0.0005422139821244294
Pubs,0.024172249138579398
Ramen,0.0036555716859356688
Restaurants,1.0
Russian,0.0009969740961642732
Salad,0.041103317999755126
Salvadoran,0.0011543910587165271
Sandwiches,0.12089622724013083
Seafood,0.04192538435975023
Seafood Markets,0.0012943172476518635
Shaved Ice,0.0009445017753135221
Shopping,0.007783394259528099
Shopping Centers,0.0009794833225473562
Smokehouse,0.000909520228079688
Soul Food,0.0051422874433736205
Soup,0.013607821873961486
Southern,0.008622951393140118
Spanish,0.003165830024661991
Specialty Food,0.0277578577300474
Sports Bars,0.02912213807216693
Sri Lankan,0.0006121770765920977
Steakhouses,0.026778374407500045
Street Vendors,0.003428191628915747
Sushi Bars,0.037710107918073214
Szechuan,0.0015566788519056198
Tacos,0.003987896384657093
Taiwanese,0.0035506270442341665
Tapas Bars,0.006454095464642401
Tapas/Small Plates,0.0074860511080405085
Tea Rooms,0.0028509960995574835
Tex-Mex,0.012156087663757368
Thai,0.024364647648365486
Turkish,0.002221328249348469
Vegan,0.012960663250135554
Vegetarian,0.017788116768404666
Venues & Event Spaces,0.008185682052717191
Vietnamese,0.02142619768072342
Waffles,0.001801549682542459
Whiskey Bars,0.0005597047557413464
Wine & Spirits,0.014779703706294929
Wine Bars,0.01602154863309604
Wineries,0.0006296678502090147
Wraps,0.0022038374757315515
num_of_categ,3.9720672345337835
