,text,user_id
94,"I would say this place was just ok. The decor and atmosphere is similar to most other places in leavenworth - ""cozy"", meaning outdated furniture, small places, and decor like grandmas house. I don't by any means mean that in a bad or negative way but it's just part of the ambiance or leavenworth vibe, i think. The service was pretty quick for how busy they were, but the food was just ok. I found the prices to be a little steep for what it was, but again I feel like that is typical for a small tourist town. You can kind of get away with charging a lot of money for food that is just ok. Nothing terrible to to say about the food, it just wasn't anything to write home about and we were both disappointed that the menu clearly stated each meal came with a dinner roll or for $3 you can upgrade to garlic bread. No said dinner roll ever came with either of our meals and it was actually a little surprising as most italian restaurants you get either a small basket of bread with butter or oil/vinegar. No such thing here and the one they promise you with the meal doesn't come either.",oxo1EWFAR8nQJoSFvZG6xA
96,"Service on my phone was struggling in leavenworth, but had I been able to load yelp, I would've known better than to come here for breakfast. The place is downstairs in a windowless, cramped basement for one. Not the most inviting place, but if the food and service are good then it doesn't matter. Unfortunately that's not the case. We paid close to $15 a plate for probably the worst breakfast I've ever had and in my opinion breakfast (at least a basic breakfast) is a very hard thing to mess up - eggs, bacon, sausage are all very easy things to make with little to no skills. I should open a cafe cause the breakfast I make at home was definitely better than this. One, I felt bad for the staff. There were 2 girls working the entire restaurant, and while it's not huge it was a weekend and there don't seem to be a lot of options in leavenworth so everyone is looking for somewhere to eat. It took a while for them to take orders and there were several other tables that were complaining that the waitress must've just forgotten them. They definitely needed more than 2 girls in there (especially when one was also the bartender/barista). Two, the food was terrible. There's no nicer way to say it. I don't know what the eggs were.. but it did not seem as though they were fresh eggs.. almost like they were frozen egg patties that they diced up. They were also brown and burnt. How does one mess up scrambled eggs? I don't understand. The biscuit and gravy was bland. The biscuit was doughy instead of flaky and there was not a good proportion of gravy. The sausage patty I had one sliver of and didn't touch after that. It was like someone dipped it in grease. The bacon was honestly the only thing palatable. You also go up to the counter to pay after you eat, which isn't made apparent what-so-ever but we figured it out after the table next to us complained to the waitress that they'd been waiting to get the check cause they had other things to do and the waitress was like oh you just go up to the counter and pay - which is also awkward because there is no place to really stand so you're all up in everyones space as they're eating their breakfast. Anyway, when we did finally go up to pay we stood around for at least 5-10 mins until they had time to cash us out. You're honestly better off buying a pastry or going to get mcdonalds and I don't say that to be mean but I just don't think it's right to charge $15 a plate for food that is almost inedible and service that is equally as bad.",oxo1EWFAR8nQJoSFvZG6xA
102,"Was looking forward to trying this place after seeing a little ad for it in one of the books at our hotel - the food looked good and the space looked cute and trendy.I expected this to be a full service restaurant just by the looks of the ad we saw, but it's not that. You order at a counter, take a number to your table and they bring your food to your table. I should've known it would be sub-par after we got to the counter to order and the guy literally took 10 minutes to take our order, i kid you not. We ordered 4 tacos and a side of refried beans in case you're wondering. While yes, one of us asked for no tomatos, no onions and sauce on the side - we didn't think that would take 10 minutes to key into the computer. It seemed like their ordering system did not have buttons for ""no this or that"" as the guy seemed to be manually typing out sentences. Further more as we were paying and it printed back to the open kitchen which is right next to the register - the cooks were confused and the guy had to further explain to them what we didn't want on 2 of the tacos. The tacos were brought to our table but not our beans, so we mentioned we also had beans and the waitress replied ""oh yeah we know, those are coming""... 15 minutes later, we were already done with our tacos when she brought out the beans. Seriously? isn't that restaurant 101 that unless it's an app or it's requested that it comes out at a diff time that you bring all the food out at the same time. Seriously, bizarre. Also, the side of beans were the size of what a small dipping saucer of salsa would go in so i don't understand how they took 15 minutes to cook. Also, the bar didn't open til 3 or 4, which you also have to order from separately. Overall, odd experience.",oxo1EWFAR8nQJoSFvZG6xA
105,"Maybe it's downtown vancouver in general, but this place is bougie AF. It's full of 20-somethings who are there to see and be seen ordering their bottles of dom perignon. If that's the vibe you're looking for you'll love this place. We made a reservation and as we walked and and told the hostess there were 2 of us and before we could get out that we had reservations, she looked us up and down and said they didn't have any tables, to which we responded, oh no we have reservations :)it took our waitress a while to come by, and after we ordered drinks they took a really long time to get there. I ended up getting the spaghetti and it was actually really good and the serving was huge - but I would expect it to be since it was over $30. While the food was good, the prices were high and the clientele were your typical flashy rich kids - which seems to be a rampant thing in vancouver.",oxo1EWFAR8nQJoSFvZG6xA
107,"Took our money elsewhere. We arrived here with high expectations as I've read it's one of the must-go-to wineries when visiting here. When we arrived the tasting room was jam packed. I expected it to be more touristy and whatnot since it is a bigger facility, so it's not like I was exactly expecting more personal service that you get at the smaller wineries, but I also was not expecting to loiter around for 15 minutes waiting for a spot anywhere to open up. Nada. I think what disappointed me the most was that employees took zero notice. I've wine tasted in other large facilities in places like Napa and Sonoma where the feel is similar as it is a much larger production place - but no where have I stood around looking like an idiot for 15 minutes without being offered anything or without and employee trying to make room somewhere. So we eventually left and took our money down to the hatch next door where the staff were much more friendly and accommodating!",oxo1EWFAR8nQJoSFvZG6xA
108,"We came here on a weekend night without reservations, which we quickly learned in kelowna is a mistake to begin with as every place was packed to the gills with long wait times. We waited it out.. they had just seated a bunch of tables so unfortunately none of the tables were turned and when they were finally ready to seat us about 5 tables all opened up at once.. go figure. The hostess was very nice though and did a good job keeping us informed and trying to find options for us a the bar.After we were seated, it then took a while for the waitress to even come by. The menu isn't too extensive, so I went with the shrimp risotto and my boyfriend did the buttermilk chicken. It took quite a while for the food to come out - the risotto was just ok and my boyfriend said the same about the chicken except that the serving size on his was actually quite small. There were a couple of chunks of chicken but after pulling it apart he found that it was almost all breading... there were a couple of little chunks of waldorf salad as more of a decoration around the plate, so needless to say he left here very hungry which I find to be pretty unacceptable when you're paying over $20 for a plate. The original reason I knew about this place was because I heard of their hip hop brunch which I really wanted to try.. but unfortunately they don't even open until 10:30 which seems late for me. Yes, I get that it's brunch, but also a lot of people wake up and would like to hit the breakfast side of brunch and I think they're missing out of a big crowd there. I'm up at 8 or 9 usually, so to wait around til 10:30 to eat breakfast isn't going to happen. Overall, not impressed with this place for the price.. but seems to have stellar reviews, so maybe my standards are just too high.",oxo1EWFAR8nQJoSFvZG6xA
113,"Came in just as breakfast service had ended, otherwise I would've had some breakfast but was stuck having lunch instead. Not much is open in Winthrop earlier than about 11, so options in the area are slim to begin with.The service was fine, but the review here is mainly on the food which is mediocre at best. It's your standard burgers, sandwiches, salads, soups kind of place. So I opted for the chicken strips and it was like eating cafeteria food. The chicken had a lot of stringy fat in it that I had to keep spitting out. Not worth the price, I'd do some more googling and try to land somewhere else if you have the chance.",oxo1EWFAR8nQJoSFvZG6xA
116,"I didn't have any coffee here, so I can't rate the beverages but overall unimpressed and felt like yelp failed me a little on this one. I think potentially the reason this place is so busy and has so many reviews is because it's pretty much the only thing opened early in winthrop - so if you're trying to hit the road early or have breakfast, this is pretty much your only options.That was exactly what I was trying to do as we were trying to hit the road early to get home from labor day. It was 8am so this place had been open for an hour at that point and the line was pretty much out the door. I wasn't trying to sit in and eat, just grab a sandwich and possibly a pastry to go. As I get up the case, I notice that the pastry selection is a little slim. The cinnamon rolls look good though. Then I get a little closer and see a sign for breakfast sandwiches and think oh good I'll get that instead. I get up to the counter and notice that the hot case that probably holds the sandwiches are empty so I ask the girl what's left or how long they take to make and she annoyingly sighs and shakes her head that they don't have any left as if I should've known this as she removes the large sign sitting on top of the pasty case advertising the sandwiches and also adds that they aren't making anymore. Sorry, but I think it's a little silly that the place hasn't even been opened for an hour and they're out of breakfast sandwiches on a holiday weekend? Whatever though, their loss of business. I opted for a cinnamon roll to go. I wasn't given a plastic fork and all that was available at the condiment/coffee counter was metal soooo guess I was gonna eat this thing with my hands in the car. The icing was good but that was about it. The roll itself was undercooked once you got towards the bottom. I like cookies slightly undercooked but I'm not one for under cooked bread dough. Maybe it was an off day, or maybe coming from seattle where bakeries and coffee shops are rampant makes my standards too high.. but really don't understand the stellar reviews on this one.",oxo1EWFAR8nQJoSFvZG6xA
135,"From what I take, it's supposed to be like the ""fancy"" restaurant in Ocean Shores. Coming from Seattle though, I was very confused about the vibe here.. I sort of get it because I'm originally from a small town and know what it's like to have no restaurant options so I tried to keep an open mind. The outside looks like any other building in Ocean Shores, but the inside decor here is actually pretty nice and fits that of a nice restaurant. When we were there, there was a couple decked out to the nines - full suit on the guy and fancy dress and high heels on the girl and sitting next to them was a family with 2 screaming children that had crayons... sooo that's what I mean about confusing vibe. We sat in the bar and it took a solid 10 minutes for the bartender to come over and give us menus. There was no one else in the bar. The prices here fit that of a fancy steak restaurant and just knowing how that normally goes in a small town, I stuck with a standard burger and fries while my boyfriend rolled the dice and went with a steak and baked potato. My burger was just fine, but my boyfriends steak was way over cooked even though he asked for it medium. His baked potato also had onions in it after he specifically asked for it to come plain. We had waited a while for the food though so didn't bother sending it back. In the time we were there we witnessed two issues though. There was one at the table behind us.. we aren't exactly sure what the issue was because we didn't start evesdropping soon enough but the lady at the table was not happy and the bartender was apologizing profusely. We assumed it had something to do with the food because the lady told the bartender not to be sorry because it was the kitchen's fault and not his. Then we witnessed/heard a fight going on between workers in the kitchen. Two cooks screaming at each other about getting in each others way. Screaming. It happens.. but pretty unprofessional.Overall, this place isn't worth the money. Just don't come to Ocean Shores thinking you're going to have a nice fancy meal.",oxo1EWFAR8nQJoSFvZG6xA
141,"The location was a little hard to find if coming in from the street side as it's tucked away in the back of the Royal Hawaiian, but it is at a nice spot right on the beach, similar to Dukes. We happened to come on the night that they do the fireworks show on the beach, which was a nice surprise but that's about all that was enjoyable about this place. There was also some show going on for a conference on a stage right next to the bar area, so you couldn't hear anything. Service was extremely slow. We also made the mistake of thinking we'd grab dinner here and not checking the menu online before hand. Extremely limited food menu... fish and chips were about the only thing on there and you're going to pay close to $20 for a little plate. Drinks were over priced as well. This was all disappointing considering it's in the Royal Hawaiian hotel, so I suppose we just expected better. Skip it and walk a little down the beach to Dukes or something.",oxo1EWFAR8nQJoSFvZG6xA
